,index,success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,prol_id,ctbl,sense_of_control_A,sense_of_control_B,sense_of_control_C,sense_of_control_D,rt,url,stimulus,key_press,npress,is_data_trial,phase,trial,deck1,deck2,col1,col2,sym1,sym2,deck_l,deck_r,chosen_deck,chosen_col,chosen_sym,deck_rt,choose_choice,mutual_info,hidden_key,chosen_card,card_rt,player_num,win_card,outcome,mock_rating,response
18,0,,image-keyboard-response,18,393183,0.0-3.15-0.15,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,9511.099999994,,static/images/instructions_CB_3/Slide16.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,,image-keyboard-response,19,406031,0.0-3.16-0.16,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,12847.400000006,,static/images/instructions_CB_3/Slide17.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,,image-keyboard-response,20,425168,0.0-3.17-0.17,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,19136.0,,static/images/instructions_CB_3/Slide18.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,,image-keyboard-response,21,433080,0.0-3.18-0.18,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,7911.5,,static/images/instructions_CB_3/Slide19.png,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,,html-keyboard-response,22,434583,0.0-4.0-0.0,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_black_moons.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,,html-keyboard-response,23,437056,0.0-4.0-1.0,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,1970.1999999881,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",90.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,,html-keyboard-response,24,438569,0.0-4.0-2.0,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/6_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,,html-keyboard-response,25,440089,0.0-4.0-3.0,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You win!
+10 points this round!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,,html-keyboard-response,26,440605,0.0-4.0-4.0,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,0.0,A,,black,,moons,,,,A,black,moons,,1.0,1.0,NA,left,1970.1999999881,6.0,1.0,1.0,,
27,0,,html-keyboard-response,27,442108,0.0-4.1-0.1,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_red_moons.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,,html-keyboard-response,28,443400,0.0-4.1-1.1,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,782.0,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300></td>
  </tr>
</table>
  ",90.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,,html-keyboard-response,29,444905,0.0-4.1-2.1,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/7_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,,html-keyboard-response,30,446413,0.0-4.1-3.1,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You win!
+10 points this round!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,,html-keyboard-response,31,446933,0.0-4.1-4.1,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,1.0,B,,red,,moons,,,,B,red,moons,,0.0,1.0,1,left,782.0,7.0,1.0,1.0,,
32,0,,html-keyboard-response,32,448443,0.0-4.2-0.2,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_black_stars.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,,html-keyboard-response,33,450528,0.0-4.2-1.2,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,1579.1999999881,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_stars.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_stars.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",77.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,,html-keyboard-response,34,452033,0.0-4.2-2.2,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_stars.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/7_of_black_stars.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,,html-keyboard-response,35,453549,0.0-4.2-3.2,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You win!
+10 points this round!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,,html-keyboard-response,36,454055,0.0-4.2-4.2,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,2.0,C,,black,,stars,,,,C,black,stars,,1.0,0.0,NA,right,1579.1999999881,7.0,1.0,1.0,,
37,0,,html-keyboard-response,37,455568,0.0-4.3-0.3,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_red_stars.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,,html-keyboard-response,38,456951,0.0-4.3-1.3,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,877.6000000238,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_stars.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_stars.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300></td>
  </tr>
</table>
  ",90.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,,html-keyboard-response,39,458456,0.0-4.3-2.3,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/6_of_red_stars.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_stars.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,,html-keyboard-response,40,459969,0.0-4.3-3.3,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You win!
+10 points this round!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,,html-keyboard-response,41,460487,0.0-4.3-4.3,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,3.0,D,,red,,stars,,,,D,red,stars,,0.0,0.0,1,left,877.6000000238,6.0,1.0,1.0,,
42,0,,html-keyboard-response,42,461997,0.0-4.4-0.4,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_red_bolts.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,,html-keyboard-response,43,462880,0.0-4.4-1.4,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,372.3000000119,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_bolts.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_bolts.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",77.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,,html-keyboard-response,44,464382,0.0-4.4-2.4,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_bolts.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/3_of_red_bolts.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,,html-keyboard-response,45,465906,0.0-4.4-3.4,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You win!
+10 points this round!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,,html-keyboard-response,46,466422,0.0-4.4-4.4,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,4.0,Xc,,red,,bolts,,,,Xc,red,bolts,,1.0,0.0,NA,right,372.3000000119,3.0,0.0,1.0,,
47,0,,html-keyboard-response,47,467933,0.0-4.5-0.5,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_black_bolts.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,,html-keyboard-response,48,469327,0.0-4.5-1.5,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,883.5,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_bolts.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_bolts.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",77.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,,html-keyboard-response,49,470839,0.0-4.5-2.5,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_bolts.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/7_of_black_bolts.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,,html-keyboard-response,50,472353,0.0-4.5-3.5,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You win!
+10 points this round!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,,html-keyboard-response,51,472868,0.0-4.5-4.5,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,5.0,Xnc,,black,,bolts,,,,Xnc,black,bolts,,0.0,0.0,0,right,883.5,7.0,1.0,1.0,,
52,0,,html-keyboard-response,52,474373,0.0-4.6-0.6,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_black_moons.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,,html-keyboard-response,53,476351,0.0-4.6-1.6,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,1466.5,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",77.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,,html-keyboard-response,54,477863,0.0-4.6-2.6,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/2_of_black_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,,html-keyboard-response,55,479376,0.0-4.6-3.6,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You Lose!
No points this round.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,,html-keyboard-response,56,479891,0.0-4.6-4.6,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,6.0,A,,black,,moons,,,,A,black,moons,,1.0,1.0,NA,right,1466.5,2.0,0.0,0.0,,
57,0,,html-keyboard-response,57,481394,0.0-4.7-0.7,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_red_moons.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,,html-keyboard-response,58,483479,0.0-4.7-1.7,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,1583.1000000238,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300></td>
  </tr>
</table>
  ",90.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,,html-keyboard-response,59,484989,0.0-4.7-2.7,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/4_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_red_moons.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,,html-keyboard-response,60,486504,0.0-4.7-3.7,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You Lose!
No points this round.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,,html-keyboard-response,61,487018,0.0-4.7-4.7,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,7.0,B,,red,,moons,,,,B,red,moons,,0.0,1.0,1,left,1583.1000000238,4.0,0.0,0.0,,
62,0,,html-keyboard-response,62,488531,0.0-4.8-0.8,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_black_stars.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,,html-keyboard-response,63,489768,0.0-4.8-1.8,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,727.599999994,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_stars.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_stars.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",77.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,,html-keyboard-response,64,491279,0.0-4.8-2.8,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"
  <table>
  <tr height=300>
    <td width=300 height=300><img src=""static/images/cards/back_of_black_stars.svg"" width=""175px"" height=""250px""></img></td>
    <td width=300 height=300><img src=""static/images/cards/1_of_black_stars.svg"" width=""175px"" height=""250px""></img></td>
  </tr>
  <tr height=200>
    <td width=300><img src=""static/images/keys/z.svg"" width=""35%"" height=""75%""></img></td>
    <td width=300><img src=""static/images/keys/m.svg"" width=""35%"" height=""75%""></img></td>
  </tr>
</table>
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,,html-keyboard-response,65,492793,0.0-4.8-3.8,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<p style=""font-size:50px"">You Lose!
No points this round.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,,html-keyboard-response,66,493311,0.0-4.8-4.8,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,,,,1.0,learning,8.0,C,,black,,stars,,,,C,black,stars,,1.0,0.0,NA,right,727.599999994,1.0,0.0,0.0,,
67,0,,html-keyboard-response,67,494813,0.0-4.9-0.9,gnvo53gxw5,2022-09-19 15:58:54.688,5dd3d566e05cad3b130de19a,3,56,55,25,37,,,"<img src=""static/images/cards/stack_of_red_stars.svg"" width=""175px"" height=""250px""></img>",,,,,,,,,,,,,,,,,,,,,,,,,,,
