"","X","index","success","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","prol_id","ctbl","sense_of_control_A","sense_of_control_B","sense_of_control_C","sense_of_control_D","age","gender","rt","url","stimulus","key_press","npress","is_data_trial","phase","trial","deck1","deck2","col1","col2","sym1","sym2","deck_l","deck_r","chosen_deck","chosen_col","chosen_sym","deck_rt","choose_choice","mutual_info","hidden_key","chosen_card","card_rt","player_num","win_card","outcome","mock_rating","response","responses","pair","soc_split_A","soc_split_B","soc_split_C","soc_split_D","choice_pair","mi_pair"
"213",212,0,NA,"html-keyboard-response",212,694390,"0.0-7.12-4.12","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",12,"A","C","black","black","moons","stars","A","C","A","black","moons",1395,1,1,NA,"right",1230.099999994,6,1,1,NA,NA,"","AC",1,0,1,1,"11","10"
"218",217,0,NA,"html-keyboard-response",217,700749,"0.0-7.13-4.13","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",13,"C","D","red","black","stars","stars","D","C","C","black","stars",1175.6000000089,1,0,NA,"right",1108.400000006,3,0,1,NA,NA,"","CD",1,0,1,1,"10","00"
"223",222,0,NA,"html-keyboard-response",222,707213,"0.0-7.14-4.14","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",14,"B","D","red","red","moons","stars","B","D","D","red","stars",1464.599999994,0,0,0,"right",934.599999994,2,0,0,NA,NA,"","BD",1,0,1,1,"00","01"
"228",227,0,NA,"html-keyboard-response",227,713367,"0.0-7.15-4.15","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",15,"A","D","red","black","stars","moons","D","A","A","black","moons",1096.1000000089,1,1,NA,"right",999.299999997,4,0,0,NA,NA,"","AD",1,0,1,1,"10","10"
"233",232,0,NA,"html-keyboard-response",232,719279,"0.0-7.16-4.16","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",16,"A","B","red","black","moons","moons","B","A","A","black","moons",1088,1,1,NA,"right",758.3999999911,4,0,0,NA,NA,"","AB",1,0,1,1,"10","11"
"238",237,0,NA,"html-keyboard-response",237,725460,"0.0-7.17-4.17","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",17,"B","D","red","red","stars","moons","D","B","D","red","stars",1110.599999994,0,0,0,"right",1009.099999994,9,1,0,NA,NA,"","BD",1,0,1,1,"00","01"
"243",242,0,NA,"html-keyboard-response",242,731795,"0.0-7.18-4.18","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",18,"A","C","black","black","stars","moons","C","A","A","black","moons",1417.299999997,1,1,NA,"right",859,10,1,1,NA,NA,"","AC",1,0,1,1,"11","10"
"248",247,0,NA,"html-keyboard-response",247,737720,"0.0-7.19-4.19","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",19,"C","D","red","black","stars","stars","D","C","C","black","stars",914.700000003,1,0,NA,"right",950,1,0,1,NA,NA,"","CD",1,0,1,1,"10","00"
"253",252,0,NA,"html-keyboard-response",252,743719,"0.0-7.20-4.20","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",20,"B","D","red","red","moons","stars","B","D","D","red","stars",1029.400000006,0,0,0,"right",928.5,1,0,0,NA,NA,"","BD",1,0,1,1,"00","01"
"258",257,0,NA,"html-keyboard-response",257,749754,"0.0-7.21-4.21","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",21,"C","D","red","black","stars","stars","D","C","C","black","stars",1086.8999999911,1,0,NA,"right",886.200000003,10,1,0,NA,NA,"","CD",1,0,1,1,"10","00"
"268",267,0,NA,"html-keyboard-response",267,761977,"0.0-7.23-4.23","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",23,"C","D","red","black","stars","stars","D","C","C","black","stars",1063.200000003,1,0,NA,"right",879.799999997,8,1,1,NA,NA,"","CD",1,0,1,1,"10","00"
"273",272,0,NA,"html-keyboard-response",272,768817,"0.0-7.24-4.24","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",24,"A","D","black","red","moons","stars","A","D","A","black","moons",1820.3999999911,1,1,NA,"right",958.099999994,3,0,0,NA,NA,"","AD",1,0,1,1,"10","10"
"278",277,0,NA,"html-keyboard-response",277,775030,"0.0-7.25-4.25","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",25,"A","D","black","red","moons","stars","A","D","A","black","moons",1124.700000003,1,1,NA,"left",1028.099999994,6,1,1,NA,NA,"","AD",1,0,1,1,"10","10"
"293",292,0,NA,"html-keyboard-response",292,794115,"0.0-7.28-4.28","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",28,"C","D","red","black","stars","stars","D","C","C","black","stars",995,1,0,NA,"right",937.400000006,4,0,1,NA,NA,"","CD",1,0,1,1,"10","00"
"298",297,0,NA,"html-keyboard-response",297,800530,"0.0-7.29-4.29","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",29,"A","B","red","black","moons","moons","B","A","A","black","moons",1466.200000003,1,1,NA,"right",888.6000000089,10,1,1,NA,NA,"","AB",1,0,1,1,"10","11"
"303",302,0,NA,"html-keyboard-response",302,807118,"0.0-7.30-4.30","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",30,"C","D","black","red","stars","stars","C","D","C","black","stars",1636.5,1,0,NA,"right",919.200000003,8,1,0,NA,NA,"","CD",1,0,1,1,"10","00"
"308",307,0,NA,"html-keyboard-response",307,813203,"0.0-7.31-4.31","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",31,"A","C","black","black","moons","stars","A","C","C","black","stars",1159.799999997,1,0,NA,"right",864.799999997,2,0,1,NA,NA,"","AC",1,0,1,1,"11","10"
"313",312,0,NA,"html-keyboard-response",312,819303,"0.0-7.32-4.32","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",32,"A","B","red","black","moons","moons","B","A","A","black","moons",1052.299999997,1,1,NA,"right",972.1999999881,2,0,0,NA,NA,"","AB",1,0,1,1,"10","11"
"318",317,0,NA,"html-keyboard-response",317,825257,"0.0-7.33-4.33","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",33,"A","B","red","black","moons","moons","B","A","A","black","moons",918.5,1,1,NA,"right",977.1000000089,8,1,1,NA,NA,"","AB",1,0,1,1,"10","11"
"323",322,0,NA,"html-keyboard-response",322,831558,"0.0-7.34-4.34","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",34,"B","C","black","red","stars","moons","C","B","C","black","stars",1316.299999997,1,0,NA,"right",920.900000006,10,1,1,NA,NA,"","BC",1,0,1,1,"10","01"
"328",327,0,NA,"html-keyboard-response",327,837748,"0.0-7.35-4.35","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",35,"A","C","black","black","moons","stars","A","C","C","black","stars",1151.799999997,1,0,NA,"right",982.799999997,4,0,1,NA,NA,"","AC",1,0,1,1,"11","10"
"333",332,0,NA,"html-keyboard-response",332,843877,"0.0-7.36-4.36","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",36,"A","C","black","black","stars","moons","C","A","C","black","stars",1225,1,0,NA,"right",845.5,8,1,0,NA,NA,"","AC",1,0,1,1,"11","10"
"338",337,0,NA,"html-keyboard-response",337,850836,"0.0-7.37-4.37","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",37,"B","C","black","red","stars","moons","C","B","B","red","moons",1617,0,1,1,"left",1271.6000000089,2,0,0,NA,NA,"","BC",1,0,1,1,"10","01"
"343",342,0,NA,"html-keyboard-response",342,857257,"0.0-7.38-4.38","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",38,"A","D","black","red","moons","stars","A","D","A","black","moons",1129.200000003,1,1,NA,"right",1227.400000006,7,1,1,NA,NA,"","AD",1,0,1,1,"10","10"
"348",347,0,NA,"html-keyboard-response",347,863424,"0.0-7.39-4.39","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",39,"C","D","red","black","stars","stars","D","C","C","black","stars",1276.700000003,1,0,NA,"right",833.799999997,3,0,1,NA,NA,"","CD",1,0,1,1,"10","00"
"353",352,0,NA,"html-keyboard-response",352,870330,"0.0-7.40-4.40","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",40,"A","B","black","red","moons","moons","A","B","A","black","moons",1861.700000003,1,1,NA,"right",976.3000000119,8,1,1,NA,NA,"","AB",1,0,1,1,"10","11"
"358",357,0,NA,"html-keyboard-response",357,876262,"0.0-7.41-4.41","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",41,"A","B","red","black","moons","moons","B","A","A","black","moons",1059.599999994,1,1,NA,"right",826.6999999881,8,1,1,NA,NA,"","AB",1,0,1,1,"10","11"
"363",362,0,NA,"html-keyboard-response",362,882332,"0.0-7.42-4.42","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",42,"A","C","black","black","stars","moons","C","A","A","black","moons",1119.3000000119,1,1,NA,"right",895.700000003,6,1,1,NA,NA,"","AC",1,0,1,1,"11","10"
"368",367,0,NA,"html-keyboard-response",367,889277,"0.0-7.43-4.43","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",43,"A","D","black","red","moons","stars","A","D","A","black","moons",1945.099999994,1,1,NA,"right",938.200000003,1,0,0,NA,NA,"","AD",1,0,1,1,"10","10"
"373",372,0,NA,"html-keyboard-response",372,896112,"0.0-7.44-4.44","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",44,"A","D","black","red","moons","stars","A","D","A","black","moons",1688.799999997,1,1,NA,"right",1104.599999994,9,1,1,NA,NA,"","AD",1,0,1,1,"10","10"
"378",377,0,NA,"html-keyboard-response",377,902331,"0.0-7.45-4.45","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",45,"B","C","red","black","moons","stars","B","C","C","black","stars",1196.700000003,1,0,NA,"right",953.1000000089,6,1,1,NA,NA,"","BC",1,0,1,1,"10","01"
"383",382,0,NA,"html-keyboard-response",382,908593,"0.0-7.46-4.46","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",46,"A","B","black","red","moons","moons","A","B","A","black","moons",1202.8999999911,1,1,NA,"right",996.5,9,1,1,NA,NA,"","AB",1,0,1,1,"10","11"
"388",387,0,NA,"html-keyboard-response",387,915115,"0.0-7.47-4.47","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",47,"B","D","red","red","stars","moons","D","B","B","red","moons",1308.6000000089,0,1,1,"left",1152.8999999911,10,1,1,NA,NA,"","BD",1,0,1,1,"00","01"
"393",392,0,NA,"html-keyboard-response",392,921352,"0.0-7.48-4.48","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",48,"C","D","red","black","stars","stars","D","C","C","black","stars",1211,1,0,NA,"right",956.3999999911,1,0,1,NA,NA,"","CD",1,0,1,1,"10","00"
"398",397,0,NA,"html-keyboard-response",397,927955,"0.0-7.49-4.49","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",49,"B","D","red","red","stars","moons","D","B","B","red","moons",1469.099999994,0,1,1,"left",1076.900000006,4,0,0,NA,NA,"","BD",1,0,1,1,"00","01"
"403",402,0,NA,"html-keyboard-response",402,934339,"0.0-7.50-4.50","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",50,"A","C","black","black","moons","stars","A","C","C","black","stars",1258.799999997,1,0,NA,"right",1061.5,2,0,0,NA,NA,"","AC",1,0,1,1,"11","10"
"408",407,0,NA,"html-keyboard-response",407,940694,"0.0-7.51-4.51","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",51,"B","D","red","red","stars","moons","D","B","D","red","stars",1218.599999994,0,0,1,"left",1077.5,9,1,0,NA,NA,"","BD",1,0,1,1,"00","01"
"418",417,0,NA,"html-keyboard-response",417,953502,"0.0-7.53-4.53","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",53,"A","B","red","black","moons","moons","B","A","B","red","moons",1218.599999994,0,1,1,"left",1077.700000003,4,0,0,NA,NA,"","AB",1,0,1,1,"10","11"
"423",422,0,NA,"html-keyboard-response",422,959809,"0.0-7.54-4.54","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",54,"A","C","black","black","moons","stars","A","C","C","black","stars",1135.8999999911,1,0,NA,"left",1119.299999997,1,0,1,NA,NA,"","AC",1,0,1,1,"11","10"
"428",427,0,NA,"html-keyboard-response",427,966253,"0.0-7.55-4.55","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",55,"A","D","red","black","stars","moons","D","A","A","black","moons",1404.700000003,1,1,NA,"right",976.799999997,9,1,1,NA,NA,"","AD",1,0,1,1,"10","10"
"433",432,0,NA,"html-keyboard-response",432,972365,"0.0-7.56-4.56","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",56,"B","C","red","black","moons","stars","B","C","C","black","stars",1056.299999997,1,0,NA,"right",994.400000006,3,0,0,NA,NA,"","BC",1,0,1,1,"10","01"
"443",442,0,NA,"html-keyboard-response",442,984995,"0.0-7.58-4.58","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",58,"A","C","black","black","stars","moons","C","A","A","black","moons",1492.799999997,1,1,NA,"right",898.799999997,9,1,1,NA,NA,"","AC",1,0,1,1,"11","10"
"448",447,0,NA,"html-keyboard-response",447,991016,"0.0-7.59-4.59","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",59,"B","D","red","red","stars","moons","D","B","B","red","moons",1123.099999994,0,1,0,"right",844.700000003,2,0,0,NA,NA,"","BD",1,0,1,1,"00","01"
"453",452,0,NA,"html-keyboard-response",452,997642,"0.0-7.60-4.60","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",60,"B","C","black","red","stars","moons","C","B","C","black","stars",1365.8999999911,1,0,NA,"right",1204.6000000089,6,1,0,NA,NA,"","BC",1,0,1,1,"10","01"
"458",457,0,NA,"html-keyboard-response",457,1004124,"0.0-7.61-4.61","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",61,"B","C","black","red","stars","moons","C","B","C","black","stars",1244.700000003,1,0,NA,"right",1174.299999997,7,1,0,NA,NA,"","BC",1,0,1,1,"10","01"
"463",462,0,NA,"html-keyboard-response",462,1010537,"0.0-7.62-4.62","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",62,"B","C","red","black","moons","stars","B","C","C","black","stars",1250.599999994,1,0,NA,"right",1113.200000003,10,1,1,NA,NA,"","BC",1,0,1,1,"10","01"
"468",467,0,NA,"html-keyboard-response",467,1016612,"0.0-7.63-4.63","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",63,"A","B","red","black","moons","moons","B","A","A","black","moons",1117.400000006,1,1,NA,"right",909.200000003,8,1,1,NA,NA,"","AB",1,0,1,1,"10","11"
"473",472,0,NA,"html-keyboard-response",472,1022991,"0.0-7.64-4.64","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",64,"B","D","red","red","stars","moons","D","B","B","red","moons",1234.400000006,0,1,1,"left",1103.1000000089,8,1,1,NA,NA,"","BD",1,0,1,1,"00","01"
"478",477,0,NA,"html-keyboard-response",477,1029501,"0.0-7.65-4.65","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",65,"B","D","red","red","stars","moons","D","B","B","red","moons",1198.700000003,0,1,0,"right",1243.799999997,2,0,0,NA,NA,"","BD",1,0,1,1,"00","01"
"483",482,0,NA,"html-keyboard-response",482,1035977,"0.0-7.66-4.66","0a7yvayyw0tj","2022-09-19 16:21:43.034","5f516d96bf6cde3b04b94b69",3,63,38,66,39,"31","male",NA,"","",NA,NA,"true","choice",66,"A","D","red","black","stars","moons","D","A","D","red","stars",1433,0,0,1,"left",996.799999997,1,0,0,NA,NA,"","AD",1,0,1,1,"10","10"
"673",154,0,NA,"html-keyboard-response",154,744621,"0.0-7.0-4.0","0e6le4hsg2a6","2022-09-19 14:52:42.394","5fb7dd473afbb1033b491811",2,42,68,0,2,"45","Male",NA,"","",NA,NA,"true","choice",0,"B","C","black","red","moons","stars","C","B","B","red","stars",2462.0999999996,0,1,0,"right",1507,4,0,0,NA,NA,"","BC",0,1,0,0,"10","01"
"678",159,0,NA,"html-keyboard-response",159,751811,"0.0-7.1-4.1","0e6le4hsg2a6","2022-09-19 14:52:42.394","5fb7dd473afbb1033b491811",2,42,68,0,2,"45","Male",NA,"","",NA,NA,"true","choice",1,"A","B","red","black","stars","stars","B","A","B","red","stars",1795.0999999996,0,1,1,"left",1334.4000000004,8,1,1,NA,NA,"","AB",0,1,0,0,"10","11"
"683",164,0,NA,"html-keyboard-response",164,759858,"0.0-7.2-4.2","0e6le4hsg2a6","2022-09-19 14:52:42.394","5fb7dd473afbb1033b491811",2,42,68,0,2,"45","Male",NA,"","",NA,NA,"true","choice",2,"A","D","black","red","stars","moons","A","D","A","black","stars",2615.1999999993,1,1,NA,"left",1365.5,2,0,0,NA,NA,"","AD",0,1,0,0,"10","10"
"688",169,0,NA,"html-keyboard-response",169,766809,"0.0-7.3-4.3","0e6le4hsg2a6","2022-09-19 14:52:42.394","5fb7dd473afbb1033b491811",2,42,68,0,2,"45","Male",NA,"","",NA,NA,"true","choice",3,"B","D","red","red","stars","moons","B","D","B","red","stars",1469.0999999996,0,1,0,"right",1397.4000000004,1,0,0,NA,NA,"","BD",0,1,0,0,"00","01"
"693",174,0,NA,"html-keyboard-response",174,773531,"0.0-7.4-4.4","0e6le4hsg2a6","2022-09-19 14:52:42.394","5fb7dd473afbb1033b491811",2,42,68,0,2,"45","Male",NA,"","",NA,NA,"true","choice",4,"B","C","red","black","stars","moons","B","C","B","red","stars",1569.5999999996,0,1,0,"right",1080,4,0,0,NA,NA,"","BC",0,1,0,0,"10","01"
"703",184,0,NA,"html-keyboard-response",184,787279,"0.0-7.6-4.6","0e6le4hsg2a6","2022-09-19 14:52:42.394","5fb7dd473afbb1033b491811",2,42,68,0,2,"45","Male",NA,"","",NA,NA,"true","choice",6,"B","D","red","red","moons","stars","D","B","B","red","stars",1419,0,1,1,"left",1086.4000000004,2,0,0,NA,NA,"","BD",0,1,0,0,"00","01"
"708",189,0,NA,"html-keyboard-response",189,793438,"0.0-7.7-4.7","0e6le4hsg2a6","2022-09-19 14:52:42.394","5fb7dd473afbb1033b491811",2,42,68,0,2,"45","Male",NA,"","",NA,NA,"true","choice",7,"A","B","black","red","stars","stars","A","B","B","red","stars",1140.1000000015,0,1,0,"right",952,7,1,1,NA,NA,"","AB",0,1,0,0,"10","11"
"713",194,0,NA,"html-keyboard-response",194,799976,"0.0-7.8-4.8","0e6le4hsg2a6","2022-09-19 14:52:42.394","5fb7dd473afbb1033b491811",2,42,68,0,2,"45","Male",NA,"","",NA,NA,"true","choice",8,"B","D","red","red","moons","stars","D","B","B","red","stars",1133.1999999993,0,1,1,"left",1329.7000000011,1,0,0,NA,NA,"","BD",0,1,0,0,"00","01"
